Make,Year,Condition,Mileage,Price
Lexus,2024,New,0,112865
Acura,2007,Used,61110,11295
McLaren,2016,Used,6305,219997
Audi,2016,Used,65715,23999
BMW,2018,Used,19830,39799
Jeep,2019,Used,52245,22966
Cadillac,2019,Used,94008,26995
Nissan,2012,Used,110202,14985
Chrysler,2008,Used,77893,7995
Ford,2012,Used,106430,15750
Toyota,2013,Used,155600,12995
BMW,2002,Used,146000,4599
INFINITI,2020,Used,22901,38713
Volkswagen,2014,Used,48650,16988
BMW,2015,Used,73660,22843
BMW,2004,Used,119263,7999
Chevrolet,2024,New,2210,52715
Jaguar,2000,Used,62022,13995
Subaru,2013,Used,84358,13900
Ford,2011,Used,181000,9995
BMW,2013,Used,77783,8995
Audi,2019,Used,33832,39990
Chevrolet,1988,Used,48934,19888
Mercedes-Benz,2016,Used,59386,71995
Lexus,2002,Used,98373,8999
Lexus,2023,New,0,106615
Pontiac,2006,Used,55915,20691
BMW,1988,Used,46344,63910
Triumph,1975,Used,27667,26507
BMW,2018,Used,46698,45373
INFINITI,2009,Used,96658,10980
Volkswagen,2016,Used,145302,9495
Scion,2005,Used,102243,5795
Toyota,2015,Used,91655,13980
Mercedes-Benz,2024,New,6,152800
Toyota,2012,Used,168725,9945
Chrysler,2008,Used,70974,11950
Jeep,2007,Used,173694,4550
INFINITI,2017,Used,111586,17995
Lexus,2010,Used,128900,9995
Porsche,2015,Used,48163,52985
INFINITI,2013,Used,162296,8888
Lexus,2008,Used,167082,7777
Toyota,2012,Used,67422,14999
Toyota,2007,Used,67300,9975
Mercedes-Benz,2017,Used,5350,69800
BMW,2016,Used,111166,18888
Ford,2011,Used,133990,10990
Aston,2012,Used,20038,67455
Volkswagen,2022,Used,12959,43949
Cadillac,2014,Used,44500,16000
Lexus,2008,Used,186000,6500
Toyota,2013,Used,92754,11700
Chevrolet,2014,Used,60261,38595
Ford,2005,Used,304425,5997
Ford,2021,Used,32395,21987
Mazda,2007,Used,151531,3777
Honda,2018,Used,93204,17999
Lincoln,2007,Used,40145,16995
Lincoln,2007,Used,104736,9995
Saturn,2007,Used,35052,18995
Saturn,2009,Used,26514,15995
Subaru,2020,Used,27861,35995
Porsche,2018,Used,12679,53995
INFINITI,2013,Used,87150,16961
Ford,2004,Used,204560,15800
BMW,2017,Used,71099,38995
BMW,2018,Used,91475,22440
BMW,2017,Used,14826,78800
Mercedes-Benz,2019,Used,38545,48999
BMW,2019,Used,31010,53895
Ford,2003,Used,199574,25975
BMW,2014,Used,78188,28990
Lexus,2024,New,0,115425
Audi,2021,Used,60120,49980
McLaren,2016,Used,852,339800
Porsche,2017,Used,41311,45911
Nissan,2005,Used,46347,16500
Audi,2008,Used,86447,15500
INFINITI,2009,Used,94164,15800
Lotus,2005,Used,19127,59800
Lincoln,1988,Used,72980,16950
BMW,2010,Used,28006,31995
Cadillac,2022,Used,58099,73995
Audi,2011,Used,90001,15495
Ferrari,1983,Used,32252,299900
Volkswagen,2019,Used,98185,12200
Rolls-Royce,2009,Used,52756,139800
Genesis,2023,New,5,89485
Chevrolet,2015,Used,105307,14995
Chevrolet,2018,Used,112099,15995
Dodge,2015,Used,132502,14995
INFINITI,2012,Used,84766,11949
Ford,2019,Used,66533,15903
Subaru,2019,Used,53038,30990
Volkswagen,2018,Certified,41540,32490
Ford,2012,Used,115225,14980
